Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Year,Outlet_Size,Outlet_Location_Type,OUTLET TYPE,SALES
FDT22,null,Low Fat,11.16%,Snack Foods,$59.82,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,677.82"
FDP45,15.7,Regular,3.07%,Snack Foods,$253.17,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$5,285.12"
FDS15,9.195,Regular,7.80%,Meat,$107.16,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,804.35"
FDF16,null,Low Fat,8.57%,Frozen Foods,$146.61,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,773.69"
FDL13,13.85,Regular,5.64%,Breakfast,$234.93,OUT045,2002,null,Tier 2,Supermarket Type1,"$4,660.60"
NCV30,20.2,Low Fat,6.62%,Household,$61.45,OUT018,2009,Medium,Tier 3,Supermarket Type2,$126.50
FDG33,null,Regular,24.55%,Seafood,$172.28,OUT019,1985,Small,Tier 1,Grocery Store,$171.78
FDO10,13.65,reg,1.28%,Snack Foods,$55.56,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,603.25"
FDQ03,15,Regular,7.79%,Meat,$238.72,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,133.22"
NCC55,10.695,Low Fat,6.40%,Household,$36.08,OUT018,2009,Medium,Tier 3,Supermarket Type2,$372.85
FDD52,null,Regular,18.24%,Dairy,$109.16,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,867.57"
FDI16,14,Regular,13.63%,Frozen Foods,$54.86,OUT018,2009,Medium,Tier 3,Supermarket Type2,$319.58
FDB44,6.655,Low Fat,1.70%,Fruits and Vegetables,$210.06,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,221.17"
FDA25,16.5,Regular,6.81%,Canned,$101.20,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,031.99"
FDV33,9.6,Regular,2.73%,Snack Foods,$257.83,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,808.31"
FDX47,6.55,Regular,3.47%,Breads,$155.83,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,099.90"
FDO50,16.25,low fat,0.00%,Canned,$89.88,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,102.56"
FDV57,15.25,Regular,6.58%,Snack Foods,$179.87,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,696.49"
FDB02,9.695,Regular,2.92%,Canned,$174.54,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,235.06"
FDD16,null,Low Fat,6.36%,Frozen Foods,$74.77,OUT019,1985,Small,Tier 1,Grocery Store,$74.57
FDX02,16,LF,5.71%,Dairy,$225.04,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,950.89"
FDP11,15.85,Low Fat,11.57%,Breads,$218.32,OUT010,1998,null,Tier 3,Grocery Store,$435.43
FDH32,null,Low Fat,7.57%,Fruits and Vegetables,$98.24,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,220.44"
NCL18,18.85,Low Fat,16.78%,Household,$193.91,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,110.62"
FDT12,6.215,Regular,4.97%,Baking Goods,$224.51,OUT045,2002,null,Tier 2,Supermarket Type1,"$4,514.12"
FDD50,null,Low Fat,14.10%,Canned,$167.71,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,889.60"
NCU05,11.8,Low Fat,5.88%,Health and Hygiene,$80.86,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,288.99"
FDI56,7.325,Low Fat,9.38%,Fruits and Vegetables,$90.31,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,733.08"
DRL11,10.5,Low Fat,4.81%,Hard Drinks,$159.29,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,893.54"
FDQ08,15.7,Regular,1.90%,Fruits and Vegetables,$61.95,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,225.07"
FDW20,null,Low Fat,2.40%,Fruits and Vegetables,$124.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,463.46"
FDW46,13,Regular,7.04%,Snack Foods,$63.45,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,043.97"
FDO09,13.5,Regular,12.55%,Snack Foods,$264.49,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$6,574.78"
DRJ49,6.865,Low Fat,1.41%,Soft Drinks,$128.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,679.15"
FDP26,7.785,Low Fat,13.94%,Dairy,$103.03,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,404.20"
FDO19,17.7,Regular,1.66%,Fruits and Vegetables,$46.90,OUT035,2004,Small,Tier 2,Supermarket Type1,$972.07
NCG43,20.2,Low Fat,12.43%,Household,$93.65,OUT010,1998,null,Tier 3,Grocery Store,$277.64
FDG02,7.855,Low Fat,1.13%,Canned,$189.52,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,904.19"
FDO32,6.36,Low Fat,12.05%,Fruits and Vegetables,$45.91,OUT035,2004,Small,Tier 2,Supermarket Type1,$419.45
FDR34,17,Regular,1.60%,Snack Foods,$229.44,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,809.74"
FDU59,5.78,Low Fat,9.64%,Breads,$163.56,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,787.01"
FDN31,11.5,Low Fat,7.30%,Fruits and Vegetables,$187.95,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,656.54"
FDT55,null,Regular,4.34%,Fruits and Vegetables,$158.19,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$6,942.96"
FDE08,18.2,Low Fat,4.95%,Fruits and Vegetables,$147.37,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,375.57"
FDK52,18.25,Low Fat,7.92%,Frozen Foods,$223.81,OUT013,1987,High,Tier 3,Supermarket Type1,"$4,288.42"
FDW11,12.6,Low Fat,4.87%,Breads,$60.42,OUT013,1987,High,Tier 3,Supermarket Type1,$990.71
FDC03,8.575,reg,7.20%,Dairy,$195.38,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,511.43"
FDR43,18.2,Low Fat,16.21%,Fruits and Vegetables,$37.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,$549.29
FDL14,8.115,reg,5.38%,Canned,$155.30,OUT010,1998,null,Tier 3,Grocery Store,$311.59
FDP39,12.65,Low Fat,6.96%,Meat,$52.43,OUT045,2002,null,Tier 2,Supermarket Type1,$571.26
FDG29,null,Low Fat,5.60%,Frozen Foods,$40.05,OUT027,1985,Medium,Tier 3,Supermarket Type3,$419.45
DRH15,8.775,Low Fat,10.99%,Dairy,$41.94,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,538.00"
FDT11,5.94,Regular,2.94%,Breads,$187.76,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,755.11"
FDU48,18.85,Low Fat,5.53%,Baking Goods,$131.53,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,581.94"
FDY12,9.8,Regular,0.00%,Baking Goods,$49.20,OUT013,1987,High,Tier 3,Supermarket Type1,$657.81
FDS44,12.65,Regular,15.69%,Fruits and Vegetables,$238.35,OUT017,2007,null,Tier 2,Supermarket Type1,"$5,528.14"
NCP06,20.7,Low Fat,3.94%,Household,$149.84,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,267.05"
DRH23,14.65,Low Fat,17.02%,Hard Drinks,$55.26,OUT013,1987,High,Tier 3,Supermarket Type1,$718.40
FDA16,null,Low Fat,3.38%,Frozen Foods,$222.85,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$7,073.46"
FDT45,15.85,Low Fat,5.75%,Snack Foods,$55.90,OUT018,2009,Medium,Tier 3,Supermarket Type2,$491.36
FDE56,17.25,Regular,16.01%,Fruits and Vegetables,$61.52,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,052.63"
FDA40,16,Regular,9.98%,Frozen Foods,$87.49,OUT017,2007,null,Tier 2,Supermarket Type1,$263.66
FDA39,6.32,Low Fat,1.27%,Meat,$40.28,OUT046,1997,Small,Tier 1,Supermarket Type1,$628.52
NCB19,6.525,LF,9.03%,Household,$86.79,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,975.43"
FDZ34,6.695,Low Fat,0.00%,Starchy Foods,$191.88,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,861.64"
FDV22,14.85,Regular,1.00%,Snack Foods,$157.96,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,816.33"
FDO40,17.1,Low Fat,3.27%,Frozen Foods,$150.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,131.92"
FDD21,10.3,Regular,0.00%,Fruits and Vegetables,$115.02,OUT013,1987,High,Tier 3,Supermarket Type1,"$4,122.63"
FDO36,19.7,Low Fat,7.78%,Baking Goods,$179.17,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,056.02"
FDV34,10.695,Regular,1.14%,Snack Foods,$73.50,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,478.08"
NCY18,7.285,Low Fat,3.12%,Household,$177.11,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,626.58"
NCM54,17.7,LF,5.11%,Household,$127.37,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,306.36"
FDB59,18.25,Low Fat,1.53%,Snack Foods,$198.01,OUT049,1999,Medium,Tier 1,Supermarket Type1,$793.63
FDS45,5.175,Regular,4.94%,Snack Foods,$106.76,OUT010,1998,null,Tier 3,Grocery Store,$211.72
FDV24,5.635,Low Fat,0.00%,Baking Goods,$148.71,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,198.44"
FDD46,6.035,Low Fat,23.64%,Snack Foods,$155.60,OUT010,1998,null,Tier 3,Grocery Store,$153.80
FDQ39,14.8,Low Fat,8.14%,Meat,$191.48,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,057.35"
FDD52,18.25,Regular,18.33%,Dairy,$111.66,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,538.00"
FDL39,16.1,Regular,6.36%,Dairy,$179.43,OUT018,2009,Medium,Tier 3,Supermarket Type2,$360.86
FDV02,16.75,Low Fat,6.08%,Dairy,$170.41,OUT018,2009,Medium,Tier 3,Supermarket Type2,$513.33
FDE11,17.7,Regular,0.00%,Starchy Foods,$184.39,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,257.13"
NCU54,8.88,Low Fat,9.88%,Household,$208.93,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$7,130.72"
FDR43,18.2,Low Fat,27.03%,Fruits and Vegetables,$38.32,OUT010,1998,null,Tier 3,Grocery Store,$109.86
FDD51,11.15,low fat,11.99%,Dairy,$44.97,OUT013,1987,High,Tier 3,Supermarket Type1,$498.02
FDO60,20,LF,3.46%,Baking Goods,$45.31,OUT017,2007,null,Tier 2,Supermarket Type1,$490.69
NCS06,7.935,Low Fat,3.17%,Household,$263.09,OUT013,1987,High,Tier 3,Supermarket Type1,"$5,522.81"
FDX50,20.1,LF,7.48%,Dairy,$110.72,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,657.84"
FDQ55,13.65,Regular,1.30%,Fruits and Vegetables,$114.78,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,455.50"
FDL52,6.635,Regular,4.63%,Frozen Foods,$36.75,OUT018,2009,Medium,Tier 3,Supermarket Type2,$75.90
FDK52,18.25,Low Fat,7.94%,Frozen Foods,$226.11,OUT045,2002,null,Tier 2,Supermarket Type1,"$6,771.19"
NCO02,11.15,Low Fat,7.38%,Others,$66.01,OUT017,2007,null,Tier 2,Supermarket Type1,$988.71
NCO30,19.5,Low Fat,1.57%,Household,$185.66,OUT035,2004,Small,Tier 2,Supermarket Type1,$918.80
FDA33,6.48,LF,3.40%,Snack Foods,$148.21,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,399.57"
FDB12,11.15,Regular,10.52%,Baking Goods,$102.76,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,142.51"
FDT40,5.985,Low Fat,9.57%,Frozen Foods,$125.87,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,560.70"
NCO05,7.27,Low Fat,4.68%,Health and Hygiene,$99.34,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,759.08"
FDR32,6.78,Regular,0.00%,Fruits and Vegetables,$227.57,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,653.91"
FDM04,9.195,Regular,4.73%,Frozen Foods,$50.77,OUT018,2009,Medium,Tier 3,Supermarket Type2,$512.67
DRL01,19.5,Regular,7.71%,Soft Drinks,$232.90,OUT013,1987,High,Tier 3,Supermarket Type1,"$5,608.70"
FDQ56,6.59,Low Fat,10.60%,Fruits and Vegetables,$83.99,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,426.14"
FDH08,7.51,Low Fat,1.74%,Fruits and Vegetables,$229.60,OUT046,1997,Small,Tier 1,Supermarket Type1,"$6,201.93"
NCQ06,null,Low Fat,7.32%,Household,$254.10,OUT019,1985,Small,Tier 1,Grocery Store,$255.00
FDG16,null,Low Fat,15.73%,Frozen Foods,$215.02,OUT019,1985,Small,Tier 1,Grocery Store,"$1,078.60"
FDZ40,null,Low Fat,4.00%,Frozen Foods,$55.73,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,024.67"
FDY51,12.5,Low Fat,8.11%,Meat,$220.08,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,322.28"
NCN41,17,Low Fat,5.24%,Health and Hygiene,$123.77,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,231.73"
NCM17,null,Low Fat,7.08%,Health and Hygiene,$46.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,007.39"
FDP39,12.65,Low Fat,6.98%,Meat,$53.53,OUT017,2007,null,Tier 2,Supermarket Type1,$830.92
FDZ08,12.5,Regular,11.00%,Fruits and Vegetables,$82.76,OUT035,2004,Small,Tier 2,Supermarket Type1,$577.91
FDU03,18.7,Regular,9.20%,Meat,$184.23,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,277.00"
FDZ49,11,Regular,13.31%,Canned,$218.48,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,203.80"
NCX30,null,LF,4.66%,Household,$248.68,OUT019,1985,Small,Tier 1,Grocery Store,$495.36
FDV08,7.35,Low Fat,2.87%,Fruits and Vegetables,$40.55,OUT045,2002,null,Tier 2,Supermarket Type1,$545.29
FDB15,10.895,Low Fat,13.67%,Dairy,$264.56,OUT013,1987,High,Tier 3,Supermarket Type1,"$5,536.79"
FDY49,17.2,Regular,1.20%,Canned,$165.32,OUT013,1987,High,Tier 3,Supermarket Type1,$990.71
FDF24,15.5,reg,2.55%,Baking Goods,$83.79,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,474.08"
DRK47,7.905,Low Fat,6.42%,Hard Drinks,$229.47,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,055.32"
DRD37,9.8,Low Fat,1.39%,Soft Drinks,$45.01,OUT017,2007,null,Tier 2,Supermarket Type1,$792.30
FDH40,11.6,Regular,7.93%,Frozen Foods,$79.23,OUT018,2009,Medium,Tier 3,Supermarket Type2,$649.82
FDL12,null,Regular,12.10%,Baking Goods,$59.42,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,078.60"
FDW11,null,Low Fat,4.85%,Breads,$60.12,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,114.55"
NCE06,5.825,LF,9.15%,Household,$159.79,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,294.32"
FDF32,16.35,Low Fat,0.00%,Fruits and Vegetables,$196.34,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,384.20"
DRI47,14.7,Low Fat,2.09%,Hard Drinks,$141.81,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,869.57"
DRA12,11.6,LF,0.00%,Soft Drinks,$141.92,OUT035,2004,Small,Tier 2,Supermarket Type1,$992.71
FDX45,16.75,Low Fat,10.48%,Snack Foods,$155.16,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,972.80"
FDR35,12.5,Low Fat,2.07%,Breads,$197.27,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,587.96"
FDK03,12.6,Regular,12.37%,Dairy,$253.04,OUT010,1998,null,Tier 3,Grocery Store,$254.34
NCJ18,12.35,Low Fat,16.38%,Household,$117.61,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,910.91"
FDN48,13.35,Low Fat,6.51%,Baking Goods,$93.08,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,113.25"
FDZ59,null,Regular,18.21%,Baking Goods,$165.65,OUT019,1985,Small,Tier 1,Grocery Store,$665.80
FDB57,null,Regular,1.87%,Fruits and Vegetables,$223.48,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$7,116.07"
DRP35,null,Low Fat,15.91%,Hard Drinks,$129.33,OUT019,1985,Small,Tier 1,Grocery Store,$127.83
FDZ59,6.63,Regular,10.39%,Baking Goods,$166.85,OUT013,1987,High,Tier 3,Supermarket Type1,"$5,326.40"
FDU58,6.61,Regular,2.91%,Snack Foods,$188.49,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$4,677.25"
FDL09,19.6,Regular,12.80%,Snack Foods,$166.88,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,845.60"
FDY38,13.6,Regular,11.99%,Dairy,$234.53,OUT017,2007,null,Tier 2,Supermarket Type1,"$6,524.84"
FDI46,null,Low Fat,7.40%,Snack Foods,$252.57,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,271.74"
FDL03,19.25,Regular,2.72%,Meat,$197.51,OUT017,2007,null,Tier 2,Supermarket Type1,$982.06
DRC25,null,Low Fat,7.94%,Soft Drinks,$86.79,OUT019,1985,Small,Tier 1,Grocery Store,$85.89
FDU60,20,Regular,6.00%,Baking Goods,$168.71,OUT045,2002,null,Tier 2,Supermarket Type1,"$6,426.30"
FDP25,null,Low Fat,2.11%,Canned,$217.08,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$6,769.85"
FDO57,20.75,Low Fat,18.20%,Snack Foods,$161.06,OUT010,1998,null,Tier 3,Grocery Store,$481.37
FDQ09,7.235,Low Fat,5.82%,Snack Foods,$114.88,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,340.32"
NCY05,null,Low Fat,5.47%,Health and Hygiene,$36.69,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$1,058.62"
FDA20,6.78,Low Fat,6.67%,Fruits and Vegetables,$187.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,491.39"
FDF16,7.3,Low Fat,14.42%,Frozen Foods,$146.31,OUT010,1998,null,Tier 3,Grocery Store,$886.85
NCG07,12.3,Low Fat,5.25%,Household,$188.75,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,795.06"
FDR46,16.85,Low Fat,14.00%,Snack Foods,$145.28,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,490.09"
FDP22,14.65,Regular,9.93%,Snack Foods,$49.87,OUT049,1999,Medium,Tier 1,Supermarket Type1,$563.93
FDL45,15.6,Low Fat,3.77%,Snack Foods,$123.77,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,129.26"
NCF42,17.35,Low Fat,16.81%,Household,$176.27,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,230.40"
FDD04,16,Low Fat,9.01%,Dairy,$141.32,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$3,261.75"
FDC45,17,Low Fat,13.63%,Fruits and Vegetables,$170.91,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,197.77"
FDI40,11.5,reg,12.59%,Frozen Foods,$100.54,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,111.25"
FDQ11,5.695,Regular,6.77%,Breads,$256.60,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,055.99"
DRM48,15.2,Low Fat,11.29%,Soft Drinks,$36.08,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,193.11"
FDS12,9.1,Low Fat,17.40%,Baking Goods,$126.54,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,761.71"
FDR46,16.85,Low Fat,0.00%,Snack Foods,$146.08,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,636.57"
NCO02,11.15,Low Fat,7.35%,Others,$65.91,OUT045,2002,null,Tier 2,Supermarket Type1,$790.97
FDQ52,17,Low Fat,11.93%,Frozen Foods,$247.44,OUT013,1987,High,Tier 3,Supermarket Type1,"$2,980.12"
FDY28,7.47,Regular,15.30%,Frozen Foods,$215.22,OUT017,2007,null,Tier 2,Supermarket Type1,"$3,419.55"
FDE32,20.7,Low Fat,4.88%,Fruits and Vegetables,$37.35,OUT046,1997,Small,Tier 1,Supermarket Type1,$834.91
FDJ58,15.6,Regular,10.53%,Snack Foods,$173.28,OUT035,2004,Small,Tier 2,Supermarket Type1,"$3,779.08"
FDJ27,17.7,Regular,12.21%,Meat,$100.77,OUT045,2002,null,Tier 2,Supermarket Type1,$814.94
NCM18,13,Low Fat,8.30%,Household,$60.02,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,114.55"
FDA02,14,Regular,2.98%,Dairy,$146.38,OUT045,2002,null,Tier 2,Supermarket Type1,$866.87
FDT26,18.85,Regular,6.80%,Dairy,$119.04,OUT046,1997,Small,Tier 1,Supermarket Type1,"$2,396.88"
DRD60,15.7,Low Fat,3.72%,Soft Drinks,$182.46,OUT035,2004,Small,Tier 2,Supermarket Type1,"$1,999.40"
NCR18,15.85,Low Fat,2.05%,Household,$44.01,OUT046,1997,Small,Tier 1,Supermarket Type1,$468.72
FDO27,6.175,Regular,17.91%,Meat,$94.38,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,342.25"
FDP25,null,low fat,3.71%,Canned,$216.48,OUT019,1985,Small,Tier 1,Grocery Store,$218.38
FDQ51,16,Regular,1.75%,Meat,$48.37,OUT035,2004,Small,Tier 2,Supermarket Type1,$614.53
NCH07,13.15,Low Fat,9.32%,Household,$158.16,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,426.14"
FDP44,16.5,Regular,7.99%,Fruits and Vegetables,$102.73,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,538.00"
NCP55,14.65,Low Fat,1.13%,Others,$57.06,OUT017,2007,null,Tier 2,Supermarket Type1,$939.44
FDO09,13.5,Regular,12.52%,Snack Foods,$261.49,OUT013,1987,High,Tier 3,Supermarket Type1,"$3,418.88"
FDP38,10.1,Low Fat,3.22%,Canned,$50.60,OUT049,1999,Medium,Tier 1,Supermarket Type1,$404.81
FDI48,11.85,Regular,5.60%,Baking Goods,$51.47,OUT017,2007,null,Tier 2,Supermarket Type1,$974.07
FDS58,9.285,Regular,2.10%,Snack Foods,$161.06,OUT045,2002,null,Tier 2,Supermarket Type1,"$2,406.87"
FDJ55,12.8,Regular,2.35%,Meat,$223.54,OUT035,2004,Small,Tier 2,Supermarket Type1,"$5,626.01"
NCF06,6.235,Low Fat,2.02%,Household,$260.90,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$5,956.91"
FDF41,12.15,Low Fat,13.14%,Frozen Foods,$246.85,OUT045,2002,null,Tier 2,Supermarket Type1,"$6,405.00"
NCL05,null,Low Fat,8.39%,Health and Hygiene,$44.08,OUT019,1985,Small,Tier 1,Grocery Store,$216.39
FDT24,12.35,reg,18.61%,Baking Goods,$78.23,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$1,158.49"
FDK08,9.195,Regular,20.47%,Fruits and Vegetables,$101.00,OUT010,1998,null,Tier 3,Grocery Store,$202.40
FDU55,16.2,Low Fat,3.61%,Fruits and Vegetables,$260.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,342.95"
NCY18,7.285,Low Fat,3.13%,Household,$174.61,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,976.79"
FDS11,7.05,Regular,5.56%,Breads,$224.71,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,131.92"
FDC28,null,Low Fat,0.00%,Frozen Foods,$109.93,OUT019,1985,Small,Tier 1,Grocery Store,$108.53
FDR59,14.5,Regular,6.39%,Breads,$262.36,OUT046,1997,Small,Tier 1,Supermarket Type1,"$4,448.21"
DRE15,13.35,Low Fat,0.00%,Dairy,$75.70,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,442.12"
FDP19,11.5,Low Fat,0.00%,Fruits and Vegetables,$128.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,841.63"
DRN47,12.1,Low Fat,1.69%,Hard Drinks,$180.67,OUT049,1999,Medium,Tier 1,Supermarket Type1,"$2,876.26"
FDJ34,11.8,Regular,9.40%,Snack Foods,$124.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$1,001.36"
FDX21,7.05,Low Fat,8.53%,Snack Foods,$107.49,OUT018,2009,Medium,Tier 3,Supermarket Type2,$982.72
FDI57,null,Low Fat,5.38%,Seafood,$195.78,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,547.38"
NCI42,18.75,Low Fat,1.04%,Household,$207.10,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,125.93"
FDL03,19.25,Regular,2.71%,Meat,$196.31,OUT045,2002,null,Tier 2,Supermarket Type1,"$3,142.58"
FDX37,16.2,Low Fat,0.00%,Canned,$100.57,OUT013,1987,High,Tier 3,Supermarket Type1,"$1,398.18"
FDW57,8.31,reg,11.61%,Snack Foods,$176.00,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$4,427.57"
FDX14,13.1,Low Fat,7.54%,Dairy,$73.84,OUT017,2007,null,Tier 2,Supermarket Type1,"$1,956.12"
FDD09,13.5,Low Fat,2.15%,Fruits and Vegetables,$180.60,OUT046,1997,Small,Tier 1,Supermarket Type1,"$3,078.66"
FDM09,11.15,Regular,8.59%,Snack Foods,$169.68,OUT046,1997,Small,Tier 1,Supermarket Type1,"$1,018.67"
NCW54,7.5,Low Fat,9.68%,Household,$56.26,OUT018,2009,Medium,Tier 3,Supermarket Type2,$687.11
DRL11,null,low fat,4.78%,Hard Drinks,$156.59,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$3,787.07"
FDJ58,15.6,Regular,10.57%,Snack Foods,$169.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,748.42"
FDX21,null,Low Fat,14.88%,Snack Foods,$111.19,OUT019,1985,Small,Tier 1,Grocery Store,$109.19
FDA20,6.78,Low Fat,6.70%,Fruits and Vegetables,$186.52,OUT017,2007,null,Tier 2,Supermarket Type1,"$2,609.94"
FDL34,16,Low Fat,4.09%,Snack Foods,$141.15,OUT035,2004,Small,Tier 2,Supermarket Type1,"$4,516.79"
FDL38,null,Regular,1.47%,Canned,$89.12,OUT027,1985,Medium,Tier 3,Supermarket Type3,"$2,319.65"
DRL11,10.5,LF,4.82%,Hard Drinks,$159.69,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,629.28"
FDO40,17.1,Low Fat,3.28%,Frozen Foods,$148.84,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$2,087.95"
DRZ24,7.535,Low Fat,0.00%,Soft Drinks,$121.64,OUT045,2002,null,Tier 2,Supermarket Type1,"$1,557.97"
FDM52,15.1,Low Fat,2.60%,Frozen Foods,$146.61,OUT035,2004,Small,Tier 2,Supermarket Type1,"$2,364.92"
FDM52,15.1,Low Fat,2.61%,Frozen Foods,$149.01,OUT017,2007,null,Tier 2,Supermarket Type1,"$4,138.61"
FDV49,10,low fat,2.59%,Canned,$264.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,"$3,171.87"
